"Campaign","Campaign Status","Campaign Type","Networks","Daily Budget","Budget Type","Start Date","End Date","Bid Strategy Type","Campaign URL Options (Tracking Template)","Final URL Suffix","Campaign Language"
10K ZIP Campaign - 2025-12-05,Enabled,Search,Search Network,,,,,,,,en

"Campaign","Setting","Value"

"Budget","Budget Amount","Delivery Method","Budget ID"

"Campaign","Ad Group","Ad Group Status","CPC Bid","Ad Group Default Max CPC","Ad Group Type"
10K ZIP Campaign - 2025-12-05,Main Ad Group,Enabled,,,

"Campaign","Ad Group","Keyword","Criterion Type","Final URL","Status","Custom Parameter"
10K ZIP Campaign - 2025-12-05,Main Ad Group,plumber near me,Broad,https://www.example.com,Enabled,
10K ZIP Campaign - 2025-12-05,Main Ad Group,emergency plumber,Phrase,https://www.example.com,Enabled,
10K ZIP Campaign - 2025-12-05,Main Ad Group,24/7 plumber,Exact,https://www.example.com,Enabled,
10K ZIP Campaign - 2025-12-05,Main Ad Group,hvac repair,Broad,https://www.example.com,Enabled,
10K ZIP Campaign - 2025-12-05,Main Ad Group,ac installation,Phrase,https://www.example.com,Enabled,

"Campaign","Negative Keyword","Match Type"
10K ZIP Campaign - 2025-12-05,free,Negative Broad
10K ZIP Campaign - 2025-12-05,cheap,Negative Broad
10K ZIP Campaign - 2025-12-05,job,Negative Broad
10K ZIP Campaign - 2025-12-05,career,Negative Broad

"Campaign","Ad Group","Negative Keyword","Match Type"

"Campaign","Ad Group","Ad Type","Ad Status","Final URL","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Description 1","Description 2","Path 1","Path 2","Ad Rotation"
10K ZIP Campaign - 2025-12-05,Main Ad Group,Responsive search ad,Enabled,https://www.example.com,Expert Services,24/7 Available,Licensed & Insured,,,Professional services for all your needs.,Fast response time guaranteed.,,,

"Campaign","Ad Group","Ad Type","Ad Status","Final URL","Headline 1","Headline 2","Headline 3","Description 1","Description 2","Path 1","Path 2"

"Campaign","Ad Group","Ad Type","Ad Status","Final URL","Domain","Language","Headline","Description"

"Campaign","Ad Group","Ad Type","Ad Status","Image URL","Alt Text","Final URL"

"Campaign","Sitelink Text","Description Line 1","Description Line 2","Final URL","Device Preference","Start Date","End Date","Status"

"Campaign","Callout Text","Start Date","End Date","Device Preference","Status"

"Campaign","Header","Values","Start Date","End Date","Status"

"Campaign","Phone Number","Country Code","Phone Verification","Device Preference","Start Date","End Date","Status"

"Campaign","Price Extension Type","Header","Price Qualifier","Price","Final URL","Currency","Start Date","End Date","Status"

"Campaign","App Platform","App ID","Final URL","Start Date","End Date","Status"

"Campaign","Location Target","Target Type","Bid Adjustment"
10K ZIP Campaign - 2025-12-05,00503,Postal Code,
10K ZIP Campaign - 2025-12-05,00506,Postal Code,
10K ZIP Campaign - 2025-12-05,00528,Postal Code,
10K ZIP Campaign - 2025-12-05,00529,Postal Code,
10K ZIP Campaign - 2025-12-05,00539,Postal Code,
10K ZIP Campaign - 2025-12-05,00547,Postal Code,
10K ZIP Campaign - 2025-12-05,00556,Postal Code,
10K ZIP Campaign - 2025-12-05,00570,Postal Code,
10K ZIP Campaign - 2025-12-05,00571,Postal Code,
10K ZIP Campaign - 2025-12-05,00581,Postal Code,
10K ZIP Campaign - 2025-12-05,00595,Postal Code,
10K ZIP Campaign - 2025-12-05,00600,Postal Code,
10K ZIP Campaign - 2025-12-05,00650,Postal Code,
10K ZIP Campaign - 2025-12-05,00679,Postal Code,
10K ZIP Campaign - 2025-12-05,00688,Postal Code,
10K ZIP Campaign - 2025-12-05,00690,Postal Code,
10K ZIP Campaign - 2025-12-05,00697,Postal Code,
10K ZIP Campaign - 2025-12-05,00700,Postal Code,
10K ZIP Campaign - 2025-12-05,00703,Postal Code,
10K ZIP Campaign - 2025-12-05,00708,Postal Code,
10K ZIP Campaign - 2025-12-05,00714,Postal Code,
10K ZIP Campaign - 2025-12-05,00715,Postal Code,
10K ZIP Campaign - 2025-12-05,00718,Postal Code,
10K ZIP Campaign - 2025-12-05,00720,Postal Code,
10K ZIP Campaign - 2025-12-05,00736,Postal Code,
10K ZIP Campaign - 2025-12-05,00745,Postal Code,
10K ZIP Campaign - 2025-12-05,00754,Postal Code,
10K ZIP Campaign - 2025-12-05,00761,Postal Code,
10K ZIP Campaign - 2025-12-05,00775,Postal Code,
10K ZIP Campaign - 2025-12-05,00787,Postal Code,
10K ZIP Campaign - 2025-12-05,00791,Postal Code,
10K ZIP Campaign - 2025-12-05,00795,Postal Code,
10K ZIP Campaign - 2025-12-05,00808,Postal Code,
10K ZIP Campaign - 2025-12-05,00810,Postal Code,
10K ZIP Campaign - 2025-12-05,00825,Postal Code,
10K ZIP Campaign - 2025-12-05,00867,Postal Code,
10K ZIP Campaign - 2025-12-05,00874,Postal Code,
10K ZIP Campaign - 2025-12-05,00875,Postal Code,
10K ZIP Campaign - 2025-12-05,00878,Postal Code,
10K ZIP Campaign - 2025-12-05,00880,Postal Code,
10K ZIP Campaign - 2025-12-05,00893,Postal Code,
10K ZIP Campaign - 2025-12-05,00911,Postal Code,
10K ZIP Campaign - 2025-12-05,00921,Postal Code,
10K ZIP Campaign - 2025-12-05,00929,Postal Code,
10K ZIP Campaign - 2025-12-05,00942,Postal Code,
10K ZIP Campaign - 2025-12-05,00945,Postal Code,
10K ZIP Campaign - 2025-12-05,00958,Postal Code,
10K ZIP Campaign - 2025-12-05,00979,Postal Code,
10K ZIP Campaign - 2025-12-05,00987,Postal Code,
10K ZIP Campaign - 2025-12-05,01034,Postal Code,
10K ZIP Campaign - 2025-12-05,01037,Postal Code,
10K ZIP Campaign - 2025-12-05,01040,Postal Code,
10K ZIP Campaign - 2025-12-05,01041,Postal Code,
10K ZIP Campaign - 2025-12-05,01044,Postal Code,
10K ZIP Campaign - 2025-12-05,01074,Postal Code,
10K ZIP Campaign - 2025-12-05,01078,Postal Code,
10K ZIP Campaign - 2025-12-05,01096,Postal Code,
10K ZIP Campaign - 2025-12-05,01098,Postal Code,
10K ZIP Campaign - 2025-12-05,01103,Postal Code,
10K ZIP Campaign - 2025-12-05,01107,Postal Code,
10K ZIP Campaign - 2025-12-05,01108,Postal Code,
10K ZIP Campaign - 2025-12-05,01110,Postal Code,
10K ZIP Campaign - 2025-12-05,01111,Postal Code,
10K ZIP Campaign - 2025-12-05,01121,Postal Code,
10K ZIP Campaign - 2025-12-05,01125,Postal Code,
10K ZIP Campaign - 2025-12-05,01136,Postal Code,
10K ZIP Campaign - 2025-12-05,01145,Postal Code,
10K ZIP Campaign - 2025-12-05,01148,Postal Code,
10K ZIP Campaign - 2025-12-05,01161,Postal Code,
10K ZIP Campaign - 2025-12-05,01162,Postal Code,
10K ZIP Campaign - 2025-12-05,01184,Postal Code,
10K ZIP Campaign - 2025-12-05,01188,Postal Code,
10K ZIP Campaign - 2025-12-05,01194,Postal Code,
10K ZIP Campaign - 2025-12-05,01207,Postal Code,
10K ZIP Campaign - 2025-12-05,01209,Postal Code,
10K ZIP Campaign - 2025-12-05,01210,Postal Code,
10K ZIP Campaign - 2025-12-05,01216,Postal Code,
10K ZIP Campaign - 2025-12-05,01226,Postal Code,
10K ZIP Campaign - 2025-12-05,01227,Postal Code,
10K ZIP Campaign - 2025-12-05,01230,Postal Code,
10K ZIP Campaign - 2025-12-05,01249,Postal Code,
10K ZIP Campaign - 2025-12-05,01253,Postal Code,
10K ZIP Campaign - 2025-12-05,01255,Postal Code,
10K ZIP Campaign - 2025-12-05,01266,Postal Code,
10K ZIP Campaign - 2025-12-05,01294,Postal Code,
10K ZIP Campaign - 2025-12-05,01307,Postal Code,
10K ZIP Campaign - 2025-12-05,01320,Postal Code,
10K ZIP Campaign - 2025-12-05,01334,Postal Code,
10K ZIP Campaign - 2025-12-05,01338,Postal Code,
10K ZIP Campaign - 2025-12-05,01350,Postal Code,
10K ZIP Campaign - 2025-12-05,01355,Postal Code,
10K ZIP Campaign - 2025-12-05,01358,Postal Code,
10K ZIP Campaign - 2025-12-05,01360,Postal Code,
10K ZIP Campaign - 2025-12-05,01370,Postal Code,
10K ZIP Campaign - 2025-12-05,01374,Postal Code,
10K ZIP Campaign - 2025-12-05,01378,Postal Code,
10K ZIP Campaign - 2025-12-05,01388,Postal Code,
10K ZIP Campaign - 2025-12-05,01421,Postal Code,
10K ZIP Campaign - 2025-12-05,01433,Postal Code,
10K ZIP Campaign - 2025-12-05,01438,Postal Code,
10K ZIP Campaign - 2025-12-05,01439,Postal Code,
10K ZIP Campaign - 2025-12-05,01442,Postal Code,
10K ZIP Campaign - 2025-12-05,01453,Postal Code,
10K ZIP Campaign - 2025-12-05,01456,Postal Code,
10K ZIP Campaign - 2025-12-05,01475,Postal Code,
10K ZIP Campaign - 2025-12-05,01488,Postal Code,
10K ZIP Campaign - 2025-12-05,01490,Postal Code,
10K ZIP Campaign - 2025-12-05,01496,Postal Code,
10K ZIP Campaign - 2025-12-05,01509,Postal Code,
10K ZIP Campaign - 2025-12-05,01514,Postal Code,
10K ZIP Campaign - 2025-12-05,01516,Postal Code,
10K ZIP Campaign - 2025-12-05,01535,Postal Code,
10K ZIP Campaign - 2025-12-05,01538,Postal Code,
10K ZIP Campaign - 2025-12-05,01559,Postal Code,
10K ZIP Campaign - 2025-12-05,01563,Postal Code,
10K ZIP Campaign - 2025-12-05,01564,Postal Code,
10K ZIP Campaign - 2025-12-05,01591,Postal Code,
10K ZIP Campaign - 2025-12-05,01602,Postal Code,
10K ZIP Campaign - 2025-12-05,01603,Postal Code,
10K ZIP Campaign - 2025-12-05,01631,Postal Code,
10K ZIP Campaign - 2025-12-05,01638,Postal Code,
10K ZIP Campaign - 2025-12-05,01641,Postal Code,
10K ZIP Campaign - 2025-12-05,01642,Postal Code,
10K ZIP Campaign - 2025-12-05,01651,Postal Code,
10K ZIP Campaign - 2025-12-05,01656,Postal Code,
10K ZIP Campaign - 2025-12-05,01658,Postal Code,
10K ZIP Campaign - 2025-12-05,01697,Postal Code,
10K ZIP Campaign - 2025-12-05,01703,Postal Code,
10K ZIP Campaign - 2025-12-05,01714,Postal Code,
10K ZIP Campaign - 2025-12-05,01716,Postal Code,
10K ZIP Campaign - 2025-12-05,01730,Postal Code,
10K ZIP Campaign - 2025-12-05,01737,Postal Code,
10K ZIP Campaign - 2025-12-05,01739,Postal Code,
10K ZIP Campaign - 2025-12-05,01741,Postal Code,
10K ZIP Campaign - 2025-12-05,01744,Postal Code,
10K ZIP Campaign - 2025-12-05,01754,Postal Code,
10K ZIP Campaign - 2025-12-05,01770,Postal Code,
10K ZIP Campaign - 2025-12-05,01797,Postal Code,
10K ZIP Campaign - 2025-12-05,01806,Postal Code,
10K ZIP Campaign - 2025-12-05,01809,Postal Code,
10K ZIP Campaign - 2025-12-05,01810,Postal Code,
10K ZIP Campaign - 2025-12-05,01820,Postal Code,
10K ZIP Campaign - 2025-12-05,01826,Postal Code,
10K ZIP Campaign - 2025-12-05,01838,Postal Code,
10K ZIP Campaign - 2025-12-05,01850,Postal Code,
10K ZIP Campaign - 2025-12-05,01863,Postal Code,
10K ZIP Campaign - 2025-12-05,01869,Postal Code,
10K ZIP Campaign - 2025-12-05,01877,Postal Code,
10K ZIP Campaign - 2025-12-05,01882,Postal Code,
10K ZIP Campaign - 2025-12-05,01902,Postal Code,
10K ZIP Campaign - 2025-12-05,01903,Postal Code,
10K ZIP Campaign - 2025-12-05,01921,Postal Code,
10K ZIP Campaign - 2025-12-05,01925,Postal Code,
10K ZIP Campaign - 2025-12-05,01926,Postal Code,
10K ZIP Campaign - 2025-12-05,01927,Postal Code,
10K ZIP Campaign - 2025-12-05,01952,Postal Code,
10K ZIP Campaign - 2025-12-05,01959,Postal Code,
10K ZIP Campaign - 2025-12-05,01960,Postal Code,
10K ZIP Campaign - 2025-12-05,01969,Postal Code,
10K ZIP Campaign - 2025-12-05,01973,Postal Code,
10K ZIP Campaign - 2025-12-05,01974,Postal Code,
10K ZIP Campaign - 2025-12-05,01989,Postal Code,
10K ZIP Campaign - 2025-12-05,02004,Postal Code,
10K ZIP Campaign - 2025-12-05,02012,Postal Code,
10K ZIP Campaign - 2025-12-05,02029,Postal Code,
10K ZIP Campaign - 2025-12-05,02033,Postal Code,
10K ZIP Campaign - 2025-12-05,02045,Postal Code,
10K ZIP Campaign - 2025-12-05,02052,Postal Code,
10K ZIP Campaign - 2025-12-05,02060,Postal Code,
10K ZIP Campaign - 2025-12-05,02065,Postal Code,
